City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Tabora,TZ,84.2,few clouds,-5.02,32.8,Barcelona Lodge
226,Goderich,CA,77.0,scattered clouds,43.75,-81.72,Harmony Inn
227,French Harbor,HN,89.6,broken clouds,16.35,-86.43,"Fantasy Island Beach Resort, Dive & Marina"
232,Seoul,KR,80.6,broken clouds,37.57,126.98,LOTTE HOTEL SEOUL
233,Diego De Almagro,CL,75.34,clear sky,-26.37,-70.05,hotel luna del desierto
234,Kirkuk,IQ,84.87,clear sky,35.47,44.39,فندق التأميم
236,Los Llanos De Aridane,ES,82.0,few clouds,28.66,-17.92,Valle Aridane
239,Makat,KZ,82.06,overcast clouds,47.65,53.35,Gostinitsa Daulet
240,Hope,US,89.01,broken clouds,33.67,-93.59,Best Western Hope
242,Xuddur,SO,80.87,scattered clouds,4.12,43.89,Banjanay Hotel
248,Kandrian,PG,75.72,overcast clouds,-6.22,149.55,Kandrian Station
249,Tomatlan,MX,85.48,overcast clouds,19.93,-105.25,Norma franco
251,Mexico,PH,84.99,broken clouds,15.06,120.72,Maharlika Hostel
252,Karpathos,GR,77.0,few clouds,35.51,27.21,Alex
257,Melfi,IT,84.2,few clouds,41.0,15.65,HOTEL TERME DI RAPOLLA
259,San Vicente,AR,86.04,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
260,Broome,US,75.99,scattered clouds,42.25,-75.83,Chenango Valley State Park
266,Kijang,KR,78.8,light rain,35.24,129.21,Brown Dot Gijang Yeonhwari
270,Galle,LK,81.28,scattered clouds,6.04,80.22,CocoBay Unawatuna
272,Manicore,BR,84.6,overcast clouds,-5.81,-61.3,Pousada da wanda
273,Manono,CD,77.7,light rain,-7.3,27.42,Hotel hewa bora
274,Lardos,GR,82.4,clear sky,36.09,28.02,Lindos Princess Beach Hotel
279,Maumere,ID,77.14,clear sky,-8.62,122.21,Sylvia Hotel
280,Nizwa,OM,87.28,overcast clouds,22.93,57.53,Orient Apartments
286,Karimpur,IN,79.66,overcast clouds,23.97,88.62,gabrudanga jumma masjid
288,San Andres,CO,87.8,scattered clouds,12.58,-81.7,Hotel Arena Blanca
292,Sioni,GE,77.0,few clouds,41.99,45.02,საოჯახო სასტუმრო სიონში
294,Katsuura,JP,84.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
301,Bar Harbor,US,75.0,clear sky,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
302,Taft,IR,84.2,clear sky,31.75,54.21,بوم گردی حاجی زینل تفت
305,Sompeta,IN,81.43,broken clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
306,Fairview,US,87.01,few clouds,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
307,Sao Joao Da Barra,BR,78.8,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
310,Aquiraz,BR,84.2,few clouds,-3.9,-38.39,Hotel Laguna Blu
