City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Amalapuram,IN,16.58,82.02,82.4,78,40,8.05,scattered clouds
144,Matay,EG,28.42,30.78,87.91,25,0,11.81,clear sky
145,Port Elizabeth,ZA,-33.92,25.57,57.2,67,4,11.41,clear sky
146,Saint-Augustin,CA,51.23,-58.65,61.39,54,36,17.05,scattered clouds
147,Mweka,CD,-4.85,21.57,77.61,62,43,0.89,scattered clouds
148,Sayyan,YE,15.17,44.32,64.67,60,63,1.41,broken clouds
149,Bembereke,BJ,10.23,2.66,72.46,96,81,4.79,moderate rain
150,Bowen,AU,-20.02,148.23,60.8,77,40,8.05,scattered clouds
151,Bubaque,GW,11.28,-15.83,80.96,78,100,17.38,light rain
152,Aqtobe,KZ,50.28,57.21,71.6,33,88,4.47,overcast clouds
153,Praia,CV,14.92,-23.51,84.2,79,40,9.17,scattered clouds
154,Palmer,US,42.16,-72.33,78.01,53,75,17.22,broken clouds
155,Dunedin,NZ,-45.87,170.5,46.99,74,50,8.25,scattered clouds
156,Bridlington,GB,54.08,-0.19,53.6,93,100,19.46,moderate rain
157,Nizhnyaya Poyma,RU,56.16,97.19,54.5,85,87,1.74,overcast clouds
158,Samarai,PG,-10.62,150.67,78.24,86,98,11.5,light rain
159,Cidreira,BR,-30.18,-50.21,68.67,75,45,4.12,scattered clouds
160,Lokoja,NG,7.8,6.74,76.26,88,100,5.46,moderate rain
161,Mataya,PH,7.47,124.37,73.62,73,99,3.15,overcast clouds
162,Concordia,AR,-31.39,-58.02,75.0,63,100,8.01,overcast clouds
163,Vila Franca Do Campo,PT,37.72,-25.43,77.0,88,20,17.22,few clouds
164,Avarua,CK,-21.21,-159.78,69.8,94,99,2.24,light rain
165,Jumla,NP,29.27,82.18,62.58,70,97,3.09,overcast clouds
166,Dickinson,US,29.46,-95.05,93.99,66,40,13.87,scattered clouds
167,Nanchang,CN,28.68,115.88,75.51,80,0,5.7,light rain
168,Chokurdakh,RU,70.63,147.92,37.26,91,96,6.8,overcast clouds
169,Saint George,US,37.1,-113.58,93.0,16,1,3.31,clear sky
170,Salalah,OM,17.02,54.09,75.2,100,90,3.36,drizzle
171,Carnarvon,AU,-24.87,113.63,64.4,93,9,11.41,clear sky
